127.0.0.1 - - [03/Feb/2017:15:09:37 +0800] "GET /myweb/pages/css/index.css HTTP/1.1" 404 1044
127.0.0.1 - - [03/Feb/2017:15:09:45 +0800] "GET /myweb/pages/index.html HTTP/1.1" 200 2240
127.0.0.1 - - [03/Feb/2017:15:09:48 +0800] "GET /myweb/css/index.css HTTP/1.1" 200 494
127.0.0.1 - - [03/Feb/2017:15:09:50 +0800] "GET /myweb/pages/index.html HTTP/1.1" 304 -
127.0.0.1 - - [03/Feb/2017:15:09:52 +0800] "GET /myweb/pages/index.html HTTP/1.1" 304 -
127.0.0.1 - - [03/Feb/2017:15:09:52 +0800] "GET /myweb/pages/index.html HTTP/1.1" 304 -
127.0.0.1 - - [03/Feb/2017:15:09:52 +0800] "GET /myweb/pages/index.html HTTP/1.1" 304 -
127.0.0.1 - - [03/Feb/2017:15:09:54 +0800] "GET /myweb/pages/index.html HTTP/1.1" 304 -
127.0.0.1 - - [03/Feb/2017:15:09:54 +0800] "GET /myweb/pages/index.html HTTP/1.1" 304 -
127.0.0.1 - - [03/Feb/2017:15:09:55 +0800] "GET /myweb/pages/index.html HTTP/1.1" 304 -
127.0.0.1 - - [03/Feb/2017:15:11:06 +0800] "GET /myweb/pages/index.html HTTP/1.1" 200 2269
127.0.0.1 - - [03/Feb/2017:15:11:06 +0800] "GET /myweb/pages/index.html HTTP/1.1" 304 -
127.0.0.1 - - [03/Feb/2017:15:11:07 +0800] "GET /myweb/pages/index.html HTTP/1.1" 304 -
127.0.0.1 - - [03/Feb/2017:15:11:23 +0800] "GET /myweb/pages/index.html HTTP/1.1" 200 2283
127.0.0.1 - - [03/Feb/2017:15:11:24 +0800] "GET /myweb/pages/index.html HTTP/1.1" 304 -
127.0.0.1 - - [03/Feb/2017:15:11:24 +0800] "GET /myweb/pages/index.html HTTP/1.1" 304 -
127.0.0.1 - - [03/Feb/2017:15:11:24 +0800] "GET /myweb/pages/index.html HTTP/1.1" 304 -
127.0.0.1 - - [03/Feb/2017:15:11:25 +0800] "GET /myweb/pages/index.html HTTP/1.1" 304 -
